Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,844,784,-1.000,-1.000,266
1,2,844,784,0.000,0.000,317
1,3,840,784,2.664,0.178,276
1,4,840,784,0.000,0.000,276
1,5,840,784,0.000,0.000,321
1,6,840,784,0.000,0.000,306
1,7,840,780,2.664,0.178,116
1,8,836,780,2.664,0.178,165
1,9,828,780,5.328,0.355,327
1,10,836,788,7.535,0.502,233
1,11,836,792,2.664,0.178,127
1,12,836,796,2.664,0.178,110
1,13,836,800,2.664,0.178,130
1,14,820,800,10.656,0.710,121
1,15,796,816,19.210,1.281,122
1,16,768,852,30.374,2.025,121
1,17,732,860,24.561,1.637,123
1,18,724,856,5.957,0.397,121
1,19,708,836,17.058,1.137,173
1,20,692,836,10.656,0.710,280
1,21,692,836,0.000,0.000,266
1,22,692,836,0.000,0.000,288
1,23,692,836,0.000,0.000,124
1,24,688,836,2.664,0.178,210
1,25,672,820,15.070,1.005,277
1,26,680,840,14.346,0.956,296
1,27,680,840,0.000,0.000,292
1,28,680,840,0.000,0.000,293
1,29,680,840,0.000,0.000,119
1,30,684,844,3.767,0.251,120
1,31,684,844,0.000,0.000,127
1,32,676,844,5.328,0.355,227
1,33,676,844,0.000,0.000,259
1,34,676,844,0.000,0.000,270
1,35,672,844,2.664,0.178,142
1,36,680,864,14.346,0.956,300
1,37,696,876,13.320,0.888,251
1,38,700,880,3.767,0.251,237
1,39,700,880,0.000,0.000,257
1,40,700,884,2.664,0.178,133
1,41,700,884,0.000,0.000,145
1,42,696,884,2.664,0.178,133
1,43,696,884,0.000,0.000,141
1,44,696,880,2.664,0.178,129
1,45,696,880,0.000,0.000,130
1,46,684,860,15.534,1.036,168
1,47,676,860,5.328,0.355,136
1,48,676,864,2.664,0.178,133
1,49,704,876,20.288,1.353,271
1,50,708,876,2.664,0.178,224
1,51,712,884,5.957,0.397,242
1,52,716,884,2.664,0.178,153
1,53,720,884,2.664,0.178,143
1,54,728,880,5.957,0.397,134
1,55,728,876,2.664,0.178,224
1,56,728,876,0.000,0.000,121
1,57,728,876,0.000,0.000,127
1,58,728,876,0.000,0.000,128
1,59,728,864,7.992,0.533,134
1,60,728,840,15.984,1.066,120
1,61,724,836,3.767,0.251,239
1,62,716,828,7.535,0.502,233
1,63,716,824,2.664,0.178,246
1,64,712,824,2.664,0.178,215
1,65,712,820,2.664,0.178,266
1,66,712,820,0.000,0.000,223
1,67,716,824,3.767,0.251,153
1,68,724,824,5.328,0.355,132
1,69,744,824,13.320,0.888,250
1,70,776,820,21.478,1.432,121
1,71,776,820,0.000,0.000,120
1,72,768,820,5.328,0.355,130
1,73,760,820,5.328,0.355,222
1,74,760,820,0.000,0.000,237
1,75,760,816,2.664,0.178,220
1,76,760,816,0.000,0.000,234
1,77,760,816,0.000,0.000,203
1,78,764,820,3.767,0.251,278
1,79,796,820,21.312,1.421,131
1,80,804,824,5.957,0.397,143
1,81,772,832,21.968,1.465,219
1,82,772,832,0.000,0.000,245
1,83,772,832,0.000,0.000,236
1,84,768,832,2.664,0.178,126
1,85,768,832,0.000,0.000,126
1,86,752,836,10.984,0.732,177
1,87,752,836,0.000,0.000,157
1,88,752,836,0.000,0.000,148
1,89,752,836,0.000,0.000,136
1,90,748,824,8.424,0.562,229
1,91,752,808,10.984,0.732,230
1,92,752,808,0.000,0.000,225
1,93,752,808,0.000,0.000,183
1,94,752,808,0.000,0.000,195
1,95,752,808,0.000,0.000,214
1,96,752,808,0.000,0.000,223
1,97,752,812,2.664,0.178,237
3,1,1200,792,-1.000,-1.000,173
3,2,1200,792,0.000,0.000,201
3,3,1200,792,0.000,0.000,179
3,4,1180,784,14.346,0.956,203
3,5,1192,776,9.605,0.640,242
3,6,1192,776,0.000,0.000,204
3,7,1192,776,0.000,0.000,174
3,8,1192,776,0.000,0.000,129
3,9,1188,776,2.664,0.178,111
3,10,1188,744,21.312,1.421,239
3,11,1192,740,3.767,0.251,162
3,12,1184,780,27.168,1.811,191
3,13,1184,776,2.664,0.178,181
3,14,1188,772,3.767,0.251,211
3,15,1188,760,7.992,0.533,131
3,16,1184,760,2.664,0.178,171
3,17,1184,760,0.000,0.000,172
3,18,1172,760,7.992,0.533,204
3,19,1164,760,5.328,0.355,228
3,20,1164,764,2.664,0.178,198
3,21,1164,764,0.000,0.000,216
3,22,1164,764,0.000,0.000,207
3,23,1156,772,7.535,0.502,218
3,24,1156,772,0.000,0.000,190
3,25,1156,776,2.664,0.178,211
3,26,1152,780,3.767,0.251,236
3,27,1148,784,3.767,0.251,197
3,28,1148,784,0.000,0.000,180
3,29,1148,784,0.000,0.000,189
3,30,1156,784,5.328,0.355,224
3,31,1164,784,5.328,0.355,170
3,32,1164,780,2.664,0.178,162
3,33,1164,780,0.000,0.000,154
3,34,1164,780,0.000,0.000,160
