Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1257,1569,-1.000,-1.000,-5121575
1,2,1257,1569,0.000,0.000,-5440001
1,3,1257,1569,0.000,0.000,-6553601
1,4,1263,1575,5.651,0.377,-7864325
1,5,1263,1575,0.000,0.000,-8524056
1,6,1263,1578,1.998,0.133,-5324606
1,7,1260,1599,14.128,0.942,-7092794
1,8,1248,1614,12.793,0.853,-5832705
1,9,1242,1623,7.204,0.480,-9511717
1,10,1242,1623,0.000,0.000,-6837847
1,11,1221,1608,17.187,1.146,-6095619
1,12,1221,1608,0.000,0.000,-7950672
1,13,1209,1614,8.935,0.596,-5898241
1,14,1203,1620,5.651,0.377,-6819085
1,15,1203,1620,0.000,0.000,-6492947
1,16,1203,1614,3.996,0.266,-6424323
1,17,1203,1605,5.994,0.400,-9175042
1,18,1203,1596,5.994,0.400,-10369079
1,19,1203,1596,0.000,0.000,-7474965
1,20,1206,1596,1.998,0.133,-7414562
1,21,1212,1590,5.651,0.377,-4653057
1,22,1212,1590,0.000,0.000,-8128524
1,23,1215,1590,1.998,0.133,-7275014
1,24,1221,1590,3.996,0.266,-5835530
1,25,1227,1593,4.468,0.298,-6031115
1,26,1230,1596,2.826,0.188,-7349285
1,27,1230,1596,0.000,0.000,-6625562
1,28,1227,1596,1.998,0.133,-9929865
1,29,1224,1587,6.318,0.421,-393217
1,30,1230,1581,5.651,0.377,-4135963
1,31,1233,1575,4.468,0.298,-10752785
1,32,1233,1569,3.996,0.266,-4784129
1,33,1233,1569,0.000,0.000,-5641492
1,34,1233,1572,1.998,0.133,-5249048
1,35,1227,1584,8.935,0.596,-4981766
1,36,1227,1584,0.000,0.000,-4397853
1,37,1230,1578,4.468,0.298,-5904664
1,38,1236,1572,5.651,0.377,-4982529
1,39,1242,1563,7.204,0.480,-5047819
1,40,1242,1563,0.000,0.000,-5308418
1,41,1236,1560,4.468,0.298,-9699329
1,42,1236,1557,1.998,0.133,-1769473
1,43,1236,1557,0.000,0.000,-7152421
1,44,1239,1557,1.998,0.133,-7083803
1,45,1239,1557,0.000,0.000,-2293761
1,46,1239,1551,3.996,0.266,-6037026
1,47,1245,1560,7.204,0.480,-7089716
1,48,1245,1572,7.992,0.533,-6619143
1,49,1248,1578,4.468,0.298,-4391171
1,50,1251,1581,2.826,0.188,-6756380
1,51,1251,1581,0.000,0.000,-6247767
1,52,1251,1566,9.990,0.666,-6432037
1,53,1251,1563,1.998,0.133,-2428423
1,54,1251,1560,1.998,0.133,-4523271
1,55,1260,1572,9.990,0.666,-4793638
1,56,1260,1572,0.000,0.000,-5784644
1,57,1236,1566,16.476,1.098,-5900551
1,58,1236,1566,0.000,0.000,-7474703
1,59,1242,1566,3.996,0.266,-5702402
1,60,1242,1566,0.000,0.000,-7084573
1,61,1224,1572,12.636,0.842,-5904672
