Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,820,1464,-1.000,-1.000,-6112578
1,2,812,1464,5.328,0.355,-5572874
1,3,812,1464,0.000,0.000,-8349542
1,4,808,1464,2.664,0.178,-9138031
1,5,828,1508,32.189,2.146,-10717577
1,6,788,1568,48.026,3.202,-12357266
1,7,784,1580,8.424,0.562,-1441793
1,8,784,1588,5.328,0.355,-9469054
1,9,780,1592,3.767,0.251,-10193290
1,10,780,1592,0.000,0.000,-7364706
1,11,764,1588,10.984,0.732,-3409153
1,12,748,1592,10.984,0.732,-2162689
1,13,748,1592,0.000,0.000,-9252656
1,14,748,1596,2.664,0.178,-7936797
1,15,744,1608,8.424,0.562,-7164241
1,16,748,1612,3.767,0.251,-4397850
1,17,764,1616,10.984,0.732,-7675940
1,18,764,1620,2.664,0.178,-6901069
1,19,772,1620,5.328,0.355,-8679025
1,20,788,1612,11.914,0.794,-7300195
1,21,796,1604,7.535,0.502,-7168354
1,22,804,1580,16.849,1.123,-7364705
1,23,836,1560,25.132,1.675,-5653312
1,24,848,1552,9.605,0.640,-9519689
1,25,852,1544,5.957,0.397,-9666174
1,26,860,1544,5.328,0.355,-9202284
1,27,896,1532,25.273,1.685,-6889247
1,28,896,1532,0.000,0.000,-5838101
1,29,900,1532,2.664,0.178,-11701907
1,30,908,1524,7.535,0.502,-6904154
1,31,912,1516,5.957,0.397,-7036253
1,32,924,1508,9.605,0.640,-11247005
1,33,936,1508,7.992,0.533,-7351342
1,34,948,1504,8.424,0.562,-5984595
1,35,956,1500,5.957,0.397,-7235173
1,36,960,1500,2.664,0.178,-7694698
1,37,936,1520,20.807,1.387,-4129029
1,38,940,1528,5.957,0.397,-5442050
1,39,940,1528,0.000,0.000,-9575202
1,40,944,1532,3.767,0.251,-8593962
1,41,948,1532,2.664,0.178,-8413793
1,42,948,1532,0.000,0.000,-5966603
1,43,948,1516,10.656,0.710,-7868945
1,44,956,1504,9.605,0.640,-5444887
1,45,972,1492,13.320,0.888,-4133649
1,46,980,1480,9.605,0.640,-4595231
1,47,984,1472,5.957,0.397,-6627617
1,48,988,1460,8.424,0.562,-5644321
1,49,988,1452,5.328,0.355,-6956067
1,50,996,1444,7.535,0.502,-4329488
1,51,1004,1428,11.914,0.794,-4325377
1,52,1008,1424,3.767,0.251,-5841185
1,53,1016,1416,7.535,0.502,-10369595
1,54,1024,1404,9.605,0.640,-6430236
1,55,1032,1392,9.605,0.640,-6757663
1,56,1032,1392,0.000,0.000,-11094599
1,57,1040,1388,5.957,0.397,-8401459
1,58,1048,1384,5.957,0.397,-6705489
1,59,1064,1368,15.070,1.005,-4793638
1,60,1084,1332,27.428,1.829,-8537413
1,61,1104,1308,20.807,1.387,-7365218
1,62,1104,1304,2.664,0.178,-8681078
1,63,1084,1304,13.320,0.888,-6038566
1,64,1080,1300,3.767,0.251,-9248545
1,65,1088,1288,9.605,0.640,-6889766
1,66,1096,1276,9.605,0.640,-5579295
1,67,1096,1268,5.328,0.355,-7153450
1,68,1092,1248,13.584,0.906,-11374220
1,69,1092,1248,0.000,0.000,-7233119
1,70,1080,1300,35.542,2.369,-5642778
1,71,1076,1300,2.664,0.178,-6046785
1,72,1056,1284,17.058,1.137,-7940656
1,73,1056,1280,2.664,0.178,-7219756
1,74,1056,1280,0.000,0.000,-7088938
1,75,1056,1276,2.664,0.178,-11020330
1,76,1056,1268,5.328,0.355,-7553599
1,77,1056,1268,0.000,0.000,-5390915
1,78,1056,1268,0.000,0.000,-5128771
1,79,1056,1272,2.664,0.178,-5457736
1,80,1048,1332,40.314,2.688,-11083039
1,81,1048,1344,7.992,0.533,-5585723
1,82,1048,1344,0.000,0.000,-5720393
1,83,1048,1348,2.664,0.178,-7365733
1,84,1024,1348,15.984,1.066,-8283236
1,85,1020,1348,2.664,0.178,-7496292
1,86,988,1328,25.132,1.675,-13010567
1,87,996,1316,9.605,0.640,-9897484
1,88,1004,1308,7.535,0.502,-5900814
1,89,1004,1300,5.328,0.355,-5837850
1,90,1000,1300,2.664,0.178,-11813955
1,91,988,1296,8.424,0.562,-3606017
1,92,984,1296,2.664,0.178,-8718349
1,93,984,1296,0.000,0.000,-8920617
1,94,980,1316,13.584,0.906,-7080207
1,95,980,1316,0.000,0.000,-6356993
1,96,988,1312,5.957,0.397,-9775402
1,97,992,1308,3.767,0.251,-7232603
2,1,788,1040,-1.000,-1.000,-5654600
2,2,788,1040,0.000,0.000,-5786186
2,3,772,1032,11.914,0.794,-7543843
2,4,772,1036,2.664,0.178,-7166299
2,5,788,1048,13.320,0.888,-14927561
2,6,824,1044,24.124,1.608,-5917259
2,7,832,1024,14.346,0.956,-5982538
2,8,824,1032,7.535,0.502,-6495778
2,9,824,1036,2.664,0.178,-720897
2,10,828,1036,2.664,0.178,-6048331
2,11,840,1020,13.320,0.888,-4601912
2,12,868,1020,18.648,1.243,-7606804
2,13,880,1024,8.424,0.562,-6369065
2,14,880,1024,0.000,0.000,-5853270
2,15,900,1024,13.320,0.888,-3933966
2,16,904,1024,2.664,0.178,-787458
2,17,920,1024,10.656,0.710,-4458505
2,18,932,1024,7.992,0.533,-7627878
2,19,932,1020,2.664,0.178,-5786701
2,20,928,1008,8.424,0.562,-6967891
2,21,928,996,7.992,0.533,-7217185
2,22,928,992,2.664,0.178,-4917765
2,23,928,992,0.000,0.000,-6772052
2,24,932,992,2.664,0.178,-7168356
2,25,952,988,13.584,0.906,-6445403
2,26,968,984,10.984,0.732,-8137772
2,27,996,972,20.288,1.353,-5721421
2,28,1000,972,2.664,0.178,-8024689
2,29,996,976,3.767,0.251,-12102314
2,30,996,984,5.328,0.355,-7024944
2,31,996,988,2.664,0.178,-6759971
2,32,1008,984,8.424,0.562,-3611417
2,33,1012,988,3.767,0.251,-7301736
2,34,1004,992,5.957,0.397,-10124674
2,35,1004,992,0.000,0.000,-4274228
2,36,1000,984,5.957,0.397,-13919329
2,37,996,984,2.664,0.178,-9515318
2,38,1000,984,2.664,0.178,-196609
2,39,1000,984,0.000,0.000,-262145
2,40,1000,984,0.000,0.000,-11541800
2,41,1000,984,0.000,0.000,-7744304
2,42,1000,984,0.000,0.000,-7019806
2,43,1000,984,0.000,0.000,-4725010
2,44,1004,984,2.664,0.178,-7545124
2,45,1004,984,0.000,0.000,-8858674
2,46,1004,980,2.664,0.178,-2820099
2,47,1004,980,0.000,0.000,-3148037
2,48,1000,980,2.664,0.178,-5970203
2,49,1000,984,2.664,0.178,-2818049
2,50,1000,984,0.000,0.000,-6691104
2,51,1000,984,0.000,0.000,-2755589
2,52,1000,984,0.000,0.000,-7084834
2,53,1004,988,3.767,0.251,-13259608
2,54,1004,992,2.664,0.178,-5253419
2,55,1004,992,0.000,0.000,-5258813
2,56,1004,992,0.000,0.000,-9132120
2,57,1004,988,2.664,0.178,-6631732
2,58,1008,988,2.664,0.178,-6314071
2,59,1012,976,8.424,0.562,-6826026
2,60,1016,972,3.767,0.251,-6562854
2,61,1020,968,3.767,0.251,-6297628
2,62,1024,948,13.584,0.906,-1967361
2,63,1028,948,2.664,0.178,-3342337
2,64,1028,948,0.000,0.000,-11748940
2,65,1028,948,0.000,0.000,-5189678
2,66,1032,948,2.664,0.178,-6445143
2,67,1032,948,0.000,0.000,-7826537
2,68,1032,956,5.328,0.355,-15646145
2,69,1028,964,5.957,0.397,-6957863
2,70,1032,972,5.957,0.397,-7216674
2,71,1032,972,0.000,0.000,-7541779
2,72,1028,976,3.767,0.251,-5971231
2,73,1028,976,0.000,0.000,-5388595
2,74,1020,976,5.328,0.355,-6694186
2,75,1004,980,10.984,0.732,-16737902
2,76,1004,980,0.000,0.000,-7407630
2,77,1004,980,0.000,0.000,-7345946
2,78,1004,976,2.664,0.178,-5835278
2,79,1004,976,0.000,0.000,-9576229
2,80,1008,976,2.664,0.178,-10956845
2,81,1012,976,2.664,0.178,-7348771
2,82,1012,976,0.000,0.000,-5444121
2,83,1012,976,0.000,0.000,-8145484
2,84,1012,976,0.000,0.000,-7164755
2,85,1012,980,2.664,0.178,-4930618
2,86,1004,988,7.535,0.502,-10893103
2,87,1000,992,3.767,0.251,-4663335
2,88,992,996,5.957,0.397,-6374471
2,89,992,996,0.000,0.000,-6112582
2,90,980,984,11.302,0.753,-11227476
2,91,980,984,0.000,0.000,-8401973
2,92,980,984,0.000,0.000,-6565421
2,93,984,984,2.664,0.178,-6625046
2,94,988,984,2.664,0.178,-7881548
2,95,992,984,2.664,0.178,-8742501
2,96,988,988,3.767,0.251,-10762297
2,97,984,988,2.664,0.178,-4790039
4,1,1568,1772,-1.000,-1.000,-7554626
4,2,1568,1772,0.000,0.000,-7953755
4,3,1564,1772,2.664,0.178,-9184294
4,4,1564,1772,0.000,0.000,-8266791
4,5,1572,1780,7.535,0.502,-9966098
4,6,1576,1780,2.664,0.178,-5655117
4,7,1584,1772,7.535,0.502,-8927290
4,8,1588,1764,5.957,0.397,-7432039
4,9,1608,1748,17.058,1.137,-6905695
4,10,1624,1736,13.320,0.888,-7629418
4,11,1632,1736,5.328,0.355,-7563625
4,12,1660,1740,18.837,1.256,-10654355
4,13,1684,1752,17.871,1.191,-6293512
4,14,1692,1752,5.328,0.355,-7891563
4,15,1696,1748,3.767,0.251,-7892590
4,16,1692,1696,34.734,2.316,-6180944
4,17,1684,1688,7.535,0.502,-8156275
4,18,1660,1672,19.210,1.281,-8878972
4,19,1640,1660,15.534,1.036,-7564138
4,20,1616,1648,17.871,1.191,-7694698
4,21,1600,1632,15.070,1.005,-7103587
4,22,1568,1612,25.132,1.675,-7021603
4,23,1568,1608,2.664,0.178,-9445659
4,24,1560,1600,7.535,0.502,-6774111
4,25,1540,1596,13.584,0.906,-9141117
4,26,1512,1604,19.394,1.293,-8992054
4,27,1508,1608,3.767,0.251,-10392724
4,28,1484,1612,16.204,1.080,-6249305
4,29,1472,1612,7.992,0.533,-10129039
4,30,1452,1596,17.058,1.137,-7694184
4,31,1448,1592,3.767,0.251,-7629677
4,32,1424,1588,16.204,1.080,-12892345
4,33,1412,1584,8.424,0.562,-7563625
4,34,1396,1564,17.058,1.137,-6642782
4,35,1376,1536,22.917,1.528,-6705746
4,36,1368,1532,5.957,0.397,-10391697
4,37,1348,1524,14.346,0.956,-7802898
4,38,1340,1520,5.957,0.397,-5636353
4,39,1332,1516,5.957,0.397,-8279126
4,40,1324,1512,5.957,0.397,-11113620
4,41,1336,1476,25.273,1.685,-6229775
4,42,1336,1472,2.664,0.178,-5705741
4,43,1332,1468,3.767,0.251,-7824487
4,44,1332,1452,10.656,0.710,-10258828
4,45,1328,1448,3.767,0.251,-8943737
4,46,1328,1440,5.328,0.355,-6839904
4,47,1320,1408,21.968,1.465,-6229264
4,48,1320,1392,10.656,0.710,-5376784
4,49,1320,1384,5.328,0.355,-3541255
4,50,1320,1384,0.000,0.000,-6032139
4,51,1324,1376,5.957,0.397,-6955040
4,52,1328,1372,3.767,0.251,-7094855
4,53,1328,1368,2.664,0.178,-14469322
4,54,1328,1364,2.664,0.178,-7233632
4,55,1324,1356,5.957,0.397,-6972517
4,56,1320,1352,3.767,0.251,-11773090
4,57,1312,1328,16.849,1.123,-5913661
4,58,1316,1308,13.584,0.906,-6365223
4,59,1320,1288,13.584,0.906,-4989730
4,60,1320,1280,5.328,0.355,-7363678
4,61,1312,1268,9.605,0.640,-5507594
4,62,1304,1260,7.535,0.502,-6491155
4,63,1296,1240,14.346,0.956,-6248278
4,64,1296,1240,0.000,0.000,-10854304
4,65,1312,1228,13.320,0.888,-6757400
4,66,1312,1228,0.000,0.000,-5196360
4,67,1320,1224,5.957,0.397,-6511196
4,68,1340,1208,17.058,1.137,-8268329
4,69,1348,1204,5.957,0.397,-3474440
4,70,1352,1200,3.767,0.251,-6431014
4,71,1368,1188,13.320,0.888,-5781816
4,72,1376,1184,5.957,0.397,-5519414
4,73,1376,1184,0.000,0.000,-4921629
4,74,1360,1196,13.320,0.888,-5590094
4,75,1380,1192,13.584,0.906,-9929605
4,76,1404,1172,20.807,1.387,-7152421
4,77,1428,1156,19.210,1.281,-5713970
4,78,1432,1152,3.767,0.251,-6169384
4,79,1444,1144,9.605,0.640,-7102561
4,80,1444,1144,0.000,0.000,-10115162
4,81,1440,1144,2.664,0.178,-4592660
4,82,1440,1144,0.000,0.000,-4326659
4,83,1440,1144,0.000,0.000,-6958900
4,84,1444,1144,2.664,0.178,-5060664
4,85,1452,1140,5.957,0.397,-7429471
4,86,1468,1144,10.984,0.732,-8864579
4,87,1480,1148,8.424,0.562,-7036253
4,88,1508,1160,20.288,1.353,-6050386
4,89,1512,1176,10.984,0.732,-7100243
4,90,1512,1180,2.664,0.178,-12224389
4,91,1516,1188,5.957,0.397,-6642265
4,92,1524,1204,11.914,0.794,-7562084
4,93,1524,1236,21.312,1.421,-7103587
4,94,1496,1264,26.372,1.758,-5985106
4,95,1480,1276,13.320,0.888,-8682106
4,96,1436,1292,31.181,2.079,-11098718
4,97,1428,1296,5.957,0.397,-5910578
6,1,384,1704,-1.000,-1.000,-7997197
6,2,412,1696,19.394,1.293,-8808553
6,3,416,1696,2.664,0.178,-7032142
6,4,392,1696,15.984,1.066,-9269615
6,5,344,1704,32.409,2.161,-10354689
6,6,328,1708,10.984,0.732,-9704470
6,7,328,1708,0.000,0.000,-7686990
6,8,320,1708,5.328,0.355,-10521483
6,9,284,1700,24.561,1.637,-4007976
6,10,248,1700,23.976,1.598,-5784646
6,11,204,1700,29.304,1.954,-10508891
6,12,164,1708,27.168,1.811,-10060162
6,13,160,1704,3.767,0.251,-8942710
6,14,152,1680,16.849,1.123,-8021606
6,15,140,1668,11.302,0.753,-13217713
6,16,116,1664,16.204,1.080,-11703447
6,17,104,1688,17.871,1.191,-9403259
6,18,100,1692,3.767,0.251,-9337209
6,19,108,1648,29.784,1.986,-10778491
6,20,120,1632,13.320,0.888,-9732224
6,21,120,1632,0.000,0.000,-10390669
6,22,120,1636,2.664,0.178,-9596788
6,23,116,1616,13.584,0.906,-8218474
6,24,112,1616,2.664,0.178,-4995643
6,25,104,1616,5.328,0.355,-9853794
6,26,100,1616,2.664,0.178,-8010048
6,27,100,1616,0.000,0.000,-8598587
6,28,96,1616,2.664,0.178,-7612457
6,29,96,1616,0.000,0.000,-9331298
6,30,96,1620,2.664,0.178,-10588563
6,31,96,1628,5.328,0.355,-7693156
6,32,96,1648,13.320,0.888,-14533573
6,33,92,1668,13.584,0.906,-9404540
6,34,96,1680,8.424,0.562,-9404288
6,35,104,1692,9.605,0.640,-9996425
6,36,112,1704,9.605,0.640,-8680049
